year,state_po,party,candidatevotes
2000,GA,democrat,5724
2000,GA,republican,8133
2000,GA,democrat,1936
2000,GA,republican,5872
2000,GA,democrat,5347
2000,GA,republican,4455
2000,GA,democrat,1275
2000,GA,republican,1807
2000,GA,democrat,975
2000,GA,republican,1320
2000,GA,democrat,10616
2000,GA,republican,14462
2000,GA,democrat,2121
2000,GA,republican,4427
2000,GA,democrat,2580
2000,GA,republican,3926
2000,GA,democrat,2047
2000,GA,republican,1766
2000,GA,democrat,2757
2000,GA,republican,1566
2000,GA,democrat,2285
2000,GA,republican,5529
2000,GA,democrat,982
2000,GA,republican,1187
2000,GA,democrat,3441
2000,GA,republican,3162
2000,GA,democrat,783
2000,GA,republican,1349
2000,GA,democrat,2971
2000,GA,republican,2790
2000,GA,democrat,2839
2000,GA,republican,4561
2000,GA,democrat,1013
2000,GA,republican,1465
2000,GA,democrat,2238
2000,GA,republican,3524
2000,GA,democrat,2684
2000,GA,republican,5539
2000,GA,democrat,28193
2000,GA,republican,23479
2000,GA,democrat,6703
2000,GA,republican,11127
2000,GA,democrat,3184
2000,GA,republican,7611
2000,GA,democrat,1519
2000,GA,republican,2706
2000,GA,democrat,6743
2000,GA,republican,16881
2000,GA,democrat,3540
2000,GA,republican,3525
2000,GA,democrat,2489
2000,GA,republican,5488
2000,GA,democrat,1300
2000,GA,republican,3348
2000,GA,democrat,1413
2000,GA,republican,3358
2000,GA,democrat,4112
2000,GA,republican,5841
2000,GA,democrat,1390
2000,GA,republican,1922
2000,GA,democrat,2612
2000,GA,republican,3596
2000,GA,democrat,542
2000,GA,republican,348
2000,GA,democrat,1776
2000,GA,republican,3451
2000,GA,democrat,1381
2000,GA,republican,1174
2000,GA,democrat,31413
2000,GA,republican,25485
2000,GA,democrat,8295
2000,GA,republican,15440
2000,GA,democrat,460
2000,GA,republican,706
2000,GA,democrat,2233
2000,GA,republican,2461
2000,GA,democrat,1313
2000,GA,republican,1537
2000,GA,democrat,5831
2000,GA,republican,9271
2000,GA,democrat,2869
2000,GA,republican,5370
2000,GA,democrat,1267
2000,GA,republican,675
2000,GA,democrat,4748
2000,GA,republican,4847
2000,GA,democrat,1662
2000,GA,republican,844
2000,GA,democrat,556
2000,GA,republican,271
2000,GA,democrat,1963
2000,GA,republican,3597
2000,GA,democrat,1340
2000,GA,republican,1412
2000,GA,democrat,1777
2000,GA,republican,1693
2000,GA,democrat,1584
2000,GA,republican,1504
2000,GA,democrat,4862
2000,GA,republican,7093
2000,GA,democrat,3547
2000,GA,republican,6678
2000,GA,democrat,2643
2000,GA,republican,4487
2000,GA,democrat,1495
2000,GA,republican,2902
2000,GA,democrat,879
2000,GA,republican,1062
2000,GA,democrat,6379
2000,GA,republican,11198
2000,GA,democrat,1169
2000,GA,republican,1258
2000,GA,democrat,1977
2000,GA,republican,1570
2000,GA,democrat,2230
2000,GA,republican,4567
2000,GA,democrat,3158
2000,GA,republican,5019
2000,GA,democrat,6341
2000,GA,republican,12326
2000,GA,democrat,5484
2000,GA,republican,12966
2000,GA,democrat,3480
2000,GA,republican,6099
2000,GA,democrat,1196
2000,GA,republican,933
2000,GA,democrat,3476
2000,GA,republican,3162
2000,GA,democrat,2736
2000,GA,republican,5219
2000,GA,democrat,541
2000,GA,republican,359
2000,GA,democrat,752
2000,GA,republican,813
2000,GA,democrat,2014
2000,GA,republican,4857
2000,GA,democrat,7034
2000,GA,republican,15852
2000,GA,democrat,962
2000,GA,republican,1381
2000,GA,democrat,1940
2000,GA,republican,2044
2000,GA,democrat,1884
2000,GA,republican,1800
2000,GA,democrat,2214
2000,GA,republican,3792
2000,HI,democrat,28670
2000,HI,republican,17050
2000,HI,democrat,139618
2000,HI,republican,101310
2000,HI,democrat,13470
2000,HI,republican,6583
2000,HI,democrat,23484
2000,HI,republican,12876
2000,ID,democrat,40650
2000,ID,republican,75050
2000,ID,democrat,336
2000,ID,republican,1476
2000,ID,democrat,10892
2000,ID,republican,18223
2000,ID,democrat,517
2000,ID,republican,2296
2000,ID,democrat,895
